"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/","1","Compre online TNT Termocolante por R$180,00. Temos entretela de tnt (micro ponto) termocolante 70g lab-407/408, entretela de tnt (micro ponto) termocolante 40g lab-403/404 e mais. Faça seu pe...","194","1238","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/filme-hidrossoluvel-para-bordado-40g-fh-10-15sed/","1","Filme hidrossolúvel FH-10 para bordados, dissolve em água e facilita a limpeza. Preserve a leveza e conforto da sua peça. Compre agora!","135","843","Indexable",""
"https://lolaaviamentos.com.br/insumos-para-bones/tela/","1","Compre online Tela por R$259,90. Temos tela de poliéster lt 105g, tela de poliéster mesh e mais. Faça seu pedido e pague-o online.","130","799","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-alfaiataria/tecido-plano/","1","Compre online Tecido Plano por R$91,90. Temos entretela de tecido plano termocolante 30g lab-101/102, entretelas tecido de algodão termocolante etp e mais. Faça seu pedido e pague-o onli...","189","1190","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/bordado1/","1","Compre online Bordado por R$1,10. Temos entretela não tecido para bordado rasgável 70g lec-70, entretela não tecido para bordado rasgável 50g lec-50 e mais. Faça seu pedido e pague...","183","1158","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/insumos-para-bones/vies1/","1","Compre online Viés por R$77,70. Temos viés tecido fosco 20mm, viés tecido fosco 55mm - carneira e mais. Faça seu pedido e pague-o online.","137","867","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/","1","Aqui você vai encontrar uma ampla gama de acessórios e entretelas para bordado, termocolantes para patchwork, apliques e insumos para bonés.","140","907","Indexable",""
"https://lolaaviamentos.com.br/entretela-alfaiataria/entretelas-de-malha/","1","Compre online Entretelas de Malha por R$180,00. Temos entretela de malha termocolante 40g lab-501/502, entretela de malha termocolante 60g lab-203/204 e mais. Faça seu pedido e pague-o online.","192","1235","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/insumos-para-bones/aba-plastica/","1","Compre online Aba Plástica por R$435,90. Temos aba plástica para boné curva 19,6kg ab-60, aba plástica para boné curva 20kg ab-230 e mais. Faça seu pedido e pague-o online.","172","1099","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-alfaiataria/algodao/","1","Compre online Algodão por R$112,90. Temos Entretelas Tecido de Algodão Termocolante ETP e mais. Faça seu pedido e pague-o online.","129","839","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-alfaiataria/","1","Variedade de filmes hidrossolúveis, termossolúveis e termocolante para patch.","77","484","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-70g-lab-407-408/","1","Entretela tecido termocolante leve 50g , ideal para reforço e acabamento profissional em roupas. Compre agora e garanta qualidade e durabilidade!","145","909","Indexable",""
"https://lolaaviamentos.com.br/bordado1/filmes/","1","Compre online Filmes por . Temos filme plástico mágico para bordado 45g, filme hidrossolúvel para bordado 40g fh-10 e mais. Faça seu pedido e pague-o online.","157","988","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/insumos-para-bones/","1","Aqui você encontra grande variedades de insumos para confecção de bonés.","72","474","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/","1","Tela de Poliéster Mesh oferece leveza, ventilação e resistência ideal para vestuário e acessórios. Compre agora e garanta conforto e qualidade!","143","878","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/bordado1/termocolante/","1","As entretelas termocolantes possuem vasta utilização como estrutura para fardamentos e camisarias, forros, acabamentos em bordados, etc.","136","881","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/insumos-para-bones/","1","Aqui você encontra grande variedades de insumos para confecção de bonés.","72","474","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-60g-lab-409-410/","1","As Entretelas de Alfaiataria LAB são essenciais para quem busca durabilidade, reforço e um acabamento profissional em peças como blazers, vestidos, bonés, go...","160","1007","Indexable",""
"https://lolaaviamentos.com.br/bordado1/hidrossoluvel/","1","As entretelas hidrossolúveis podem ser dissolvidas em água fria ou quente, a vantagem é a facilidade de limpeza do bordado.","123","771","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-105g-155-100m/","1","A tela de poliéster Lola possui variedade de cores e é muito utilizada na confecção de bonés, bolsos laterais de mochilas, necessaires e outros.","144","873","Indexable",""
"https://www.lolaaviamentos.com.br/trocas-devolucoes/","1","  Condições gerais As ocorrências que envolvam troca ou devolução devem ser comunicadas sempre à nossa CENTRAL DE ATENDIMENTO, a qual orientará você sobre os...","160","1053","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/regulador-plastico-para-bone-1000-un/","1","Conheça os reguladores plásticos para bonés snapback. Compostos de material não-reciclado, possuem inúmeras vantagens.","118","781","Indexable",""
"https://lolaaviamentos.com.br/bordado1/rasgo-facil/","1","Compre online Rasgo Fácil por R$49,90. Temos entretela não tecido para bordado rasgável 70g lec-70, entretela não tecido para bordado rasgável 50g lec-50 e mais. Faça seu pedido e pague...","188","1184","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-de-memoria/preta/","1","Compre online Preta por R$261,90. Temos Entretela Cavalinho de Memória Termocolante Preta 290g e mais. Faça seu pedido e pague-o online.","136","882","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/maquinas-acessorios/","1","Conheça a variedade de máquinas Lola Soluções voltados para a área da confecção de bonés e vestuário!","101","654","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/","1","Variedade de filmes hidrossolúveis, termossolúveis e termocolante para patch.","77","484","Indexable",""
"https://lolaaviamentos.com.br/produtos/entretelas-tecido-de-algodao-termocolante-etp-15m-x-100m/","1","Entretela 100% algodão termocolante ideal para colarinhos e golas. Toque e dureza variados para acabamento sofisticado. Compre e eleve seu projeto!","147","933","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/https-www-lolaaviamentos-com-br-acessorios/","1","Aparelho de bronze ideal para aplicar viés de 25 e 30mm em bonés, garantindo costura perfeita. Aproveite e ajuste seu trabalho com precisão!","140","874","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/botao-de-forrar-encapar-para-bone-15mm-1000un/","1","O botão de forrar ou botão de encapar para boné Lola, é aplicado na parte superior do boné utilizando um método de fixação inovador.","132","832","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-hidrossoluvel-para-bordado-60g-52cm-25m/","1","A entretela hidrossolúvel podem ser dissolvida em água fria ou quente, a vantagem é a facilidade de limpeza do bordado.","119","743","Indexable",""
"https://lolaaviamentos.com.br/entretela-de-memoria/","1","Compre entretelas de memória termocolantes em várias gramaturas e cores. Ideal para estruturar bonés, bolsas, roupas e evitar deformações.","138","880","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/entretela-de-memoria/cinza/","1","Compre online Cinza por R$260,90. Temos entretela cavalinho de memória termocolante cinza 330g, entretela cavalinho de memória termocolante cinza 285g e mais. Faça seu pedido e pag...","183","1174","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-termocolante-cinza-285g-16-100m/","1","A entretela de memória (ou entretela cavalinho) é utilizada para estruturar bonés, fardas, cortinas, vestidos, bolsas e muitos outros artigos.","142","858","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-termocolante-cinza-330g/","1","A Entretela de Memória (também chamada de entretela cavalinho ou entretela inteligente) é regularmente utilizada para forrar e estruturar bonés, fardas farda...","160","990","Indexable",""
"https://www.lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","1","Compre online Regulador Plástico por R$189,90. Temos Regulador Plástico Proflex para Boné 1.000 und. e mais. Faça seu pedido e pague-o online.","142","908","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/filmes/","1","Compre online Filmes por . Temos filme plástico mágico para bordado 45g, filme hidrossolúvel para bordado 40g fh-10 e mais. Faça seu pedido e pague-o online.","157","988","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/hidrossoluvel/","1","As entretelas hidrossolúveis podem ser dissolvidas em água fria ou quente, a vantagem é a facilidade de limpeza do bordado.","123","771","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/toque-macio/","1","As entretelas não tecido de toque macio e rasgo orientado são compostas de poliéster e tem foco na área de vestuário feminino e infantil.","137","846","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/tecido-plano/","1","Compre online Tecido Plano por R$91,90. Temos entretela de tecido plano termocolante 30g lab-101/102, entretelas tecido de algodão termocolante etp e mais. Faça seu pedido e pague-o onli...","189","1190","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/termocolante/","1","As entretelas termocolantes possuem vasta utilização como estrutura para fardamentos e camisarias, forros, acabamentos em bordados, etc.","136","881","Indexable",""
"https://www.lolaaviamentos.com.br/maquinas-acessorios/","1","Conheça a variedade de máquinas Lola Soluções voltados para a área da confecção de bonés e vestuário!","101","654","Indexable",""
"https://www.lolaaviamentos.com.br/insumos-para-bones/tela/","1","Compre online Tela por R$259,90. Temos tela de poliéster lt 105g, tela de poliéster mesh e mais. Faça seu pedido e pague-o online.","130","799","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/rasgo-facil/","1","Compre online Rasgo Fácil por R$49,90. Temos entretela não tecido para bordado rasgável 70g lec-70, entretela não tecido para bordado rasgável 50g lec-50 e mais. Faça seu pedido e pague...","188","1184","Indexable",""
"https://www.lolaaviamentos.com.br/acessorios/","1","Compre online Acessórios por R$99,90. Temos cortador de amostras para gramatura, medidor de circunferência para bonés e mais. Faça seu pedido e pague-o online.","159","1026","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/","1","Aqui você vai encontrar uma ampla gama de acessórios e entretelas para bordado, termocolantes para patchwork, apliques e insumos para bonés.","140","907","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-de-memoria/branca/","1","Compre online Branca por R$171,90. Temos entretela cavalinho de memória termocolante branca 280g, entretela cavalinho de memória termocolante branca 220g e mais. Faça seu pedido e p...","184","1190","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/entretelas-de-malha/","1","Compre online Entretelas de Malha por R$180,00. Temos entretela de malha termocolante 40g lab-501/502, entretela de malha termocolante 60g lab-203/204 e mais. Faça seu pedido e pague-o online.","192","1235","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/","1","Compre online TNT Termocolante por R$180,00. Temos entretela de tnt (micro ponto) termocolante 70g lab-407/408, entretela de tnt (micro ponto) termocolante 40g lab-403/404 e mais. Faça seu pe...","194","1238","Indexable",""
"https://www.lolaaviamentos.com.br/contato/","1","","0","0","Indexable",""
"https://www.lolaaviamentos.com.br/liquidacao/","1","Compre online Liquidação por R$39,90. Temos entretela não tecido para bordado rasgável 70g lec-70, botão de forrar / encapar para boné 13 mm 1.000 un. e mais. Faça seu pedido e pague-o...","187","1190","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-de-memoria/preta/","1","Compre online Preta por R$261,90. Temos Entretela Cavalinho de Memória Termocolante Preta 290g e mais. Faça seu pedido e pague-o online.","136","882","Indexable",""
"https://www.lolaaviamentos.com.br/insumos-para-bones/suede1/","1","Compre online Tecidos por R$247,50. Temos Tecido Suede 160g e mais. Faça seu pedido e pague-o online.","101","655","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","1","deal para a confecção de peças de alto padrão, nossa entretela 100% algodão é desenvolvida especialmente para atender às exigências da alfaiataria e camisaria fina. Utilizada em colarinhos, golas, cós e outras aplicações estruturais, garante acabamento impecável, toque sofisticado e excelente performance na costura.","317","1980","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/algodao/","1","Compre online Algodão por R$112,90. Temos Entretelas Tecido de Algodão Termocolante ETP e mais. Faça seu pedido e pague-o online.","129","839","Indexable",""
"https://www.lolaaviamentos.com.br/insumos-para-bones/aba-plastica/","1","Compre online Aba Plástica por R$435,90. Temos aba plástica para boné curva 19,6kg ab-60, aba plástica para boné curva 20kg ab-230 e mais. Faça seu pedido e pague-o online.","172","1099","Indexable",""
"https://www.lolaaviamentos.com.br/insumos-para-bones/vies1/","1","Compre online Viés por R$77,70. Temos viés tecido fosco 20mm, viés tecido fosco 55mm - carneira e mais. Faça seu pedido e pague-o online.","137","867","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/filme-papel-termocolante-definitivo-para-patchwork-48cm-5m/","1","O filme papel termocolante definitivo é utilizado para fazer o processo de patchwork de patches e apliques em tecidos ou outros materiais.","138","852","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","1","A entretela rasgável (ou de rasgo fácil) pode ser removida facilmente apenas puxando-a da peça, isso torna a limpeza mais rápida e prática.","139","861","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-90g-90cm-200m/","1","A entretela rasgável (ou de rasgo fácil) pode ser removida facilmente apenas puxando-a da peça, isso torna a limpeza mais rápida e prática.","139","861","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-30g-90cm-200m/","1","A entretela rasgável (ou de rasgo fácil) pode ser removida facilmente apenas puxando-a da peça, isso torna a limpeza mais rápida e prática.","139","861","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-nao-tecido-para-bordado-toque-macio-rasgavel-60g-lef-60/","1","Similar as entretelas de viscose, essa entretela possui toque macio e rasgo não orientado, ideal para realização de bordados em peças delicadas, como roupas ...","160","990","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-50g-90cm-200m/","1","A entretela rasgável (ou de rasgo fácil) pode ser removida facilmente apenas puxando-a da peça, isso torna a limpeza mais rápida e prática.","139","861","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-preta-rasgavel-40g-90cm-200m/","1","A entretela rasgável (ou de rasgo fácil) pode ser removida facilmente apenas puxando-a da peça, isso torna a limpeza mais rápida e prática.","139","861","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-toque-macio-rasgavel-40g-90cmx-200m/","1","A entretela para bordado de toque macio rasgável, proporciona uma ótima definição aos bordados, e permite uma limpeza mais rápida da peça.","138","887","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-nao-tecido-para-bordado-rasgavel-70g-lec-70/","1","A entretela rasgável (ou de rasgo fácil) pode ser removida facilmente apenas puxando-a da peça, isso torna a limpeza mais rápida e prática.","139","861","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-termocolante-de-toque-macio-30g-90cm-100m/","1","A entretela termocolante de toque macio possui vasta utilização, como forro e estrutura para camisaria, gola, peitilho, punhos, bolsos, calçados, etc.","150","913","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-toque-macio-30g-90cm-100m/","1","A entretela para bordado de toque macio proporciona uma ótima definição aos bordados, e tem foco na área de vestuário feminino e infantil.","138","868","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-termocolante-de-toque-macio-20g-90cm-100m/","1","A entretela termocolante de toque macio possui vasta utilização, como forro e estrutura para camisaria, gola, peitilho, punhos, bolsos, calçados, etc.","150","913","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-termocolante-de-toque-macio-40g-90cm-100m/","1","A entretela termocolante de toque macio possui vasta utilização, como forro e estrutura para camisaria, gola, peitilho, punhos, bolsos, calçados, etc.","150","913","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-nao-tecido-para-bordado-toque-macio-50g-lepo-50/","1","Entretela para bordado não tecido de toque macio e rasgo orientado. Sua utilização abrange bordados computadorizados com foco na área de vestuário feminino e...","160","1024","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-termocolante-de-toque-macio-60g-90cm-100m/","1","A entretela termocolante de toque macio possui vasta utilização, como forro e estrutura para camisaria, gola, peitilho, punhos, bolsos, calçados, etc.","150","913","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-termocolante-de-toque-macio-50g-90cm-x-100m/","1","A entretela termocolante de toque macio possui vasta utilização, como forro e estrutura para camisaria, gola, peitilho, punhos, bolsos, calçados, etc.","150","913","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-toque-macio-20g-90cm-100m/","1","A entretela para bordado de toque macio proporciona uma ótima definição aos bordados, e tem foco na área de vestuário feminino e infantil.","138","868","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-nao-tecido-para-bordado-toque-macio-60g-lepo-60/","1","Entretela não tecido para bordado com toque macio e alta resistência. Ideal para vestuário feminino e infantil. Compre e garanta bordados de qualidade!","151","940","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/case-para-bones/","1","Case para bonés acomoda 6 bonés com material resistente. Ideal para viagens e organização. Personalize com sua marca. Compre agora!","131","855","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/medidor-de-circunferencia-para-bones/","1","O medidor de circunferência Lola é utilizado para medir a circunferência interna dos bonés, permitindo manter a padronização de produção.","137","861","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/cortador-amostras/","1","O aparelho aplicador de viés (ou aparelho de bronze), é utilizado em máquinas de pesponto (pespontadeiras) para inserir e costurar o viés.","138","852","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-ltn-130g-155-x-100m1/","1","Tela de poliéster LTN , ideal para bonés e mochilas. Conforto e ventilação garantidos. Compre agora no atacado!","111","694","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-de-malha-termocolante-60g-lab-203-204/","1","As Entretelas de Alfaiataria LAB são essenciais para quem busca durabilidade, reforço e um acabamento profissional em peças como blazers, vestidos, bonés, go...","160","1007","Indexable",""
"https://www.lolaaviamentos.com.br/filme/","1","Encontre filmes para bordado com alta qualidade e diversas opções para seus projetos. Ideal para profissionais e amantes do bordado artesanal.","142","897","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-de-malha-termocolante-40g-lab-501-502/","1","As Entretelas de Alfaiataria LAB são essenciais para quem busca durabilidade, reforço e um acabamento profissional em peças como blazers, vestidos, bonés, go...","160","1007","Indexable",""
"https://www.lolaaviamentos.com.br/https-www-lolaaviamentos-com-br-produtos-filme-plastico-magico-para-bordado-45g/","1","Filme plástico para bordado foi desenvolvid para facilitar o processo do bordado, trazendo uma entretela sem estrias e flexível.","128","780","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/vies-tecido-fosco-preto-20mm-6000m/","1","O Lola possui referências de viés fosco e semibrilho personalizável. A função desse aviamento é camuflar as costuras que compõe uma peça.","137","871","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/botao-de-forrar-encapar-para-bone-13mm-1000un/","1","O botão de forrar ou botão de encapar para boné Lola, é aplicado na parte superior do boné utilizando um método de fixação inovador.","132","832","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/vies-tecido-fosco-preto-27mm-6000m/","1","O Lola possui referências de viés fosco e semibrilho personalizável. A função desse aviamento é camuflar as costuras que compõe uma peça.","137","871","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/aba-plastica-para-bone-curva-20kg-ab-80/","1","As abas plásticas para confecção de bonés Lola são compostas de material virgem não reciclado, tornando-as livres de impurezas, e evitando a extração de suje...","160","1001","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/aba-plastica-para-bone-curva-196kg-ab-60/","1","Abas plásticas curvas , material virgem puro, leve e sem impurezas. Ideal para bonés com ótimo acabamento e praticidade na costura. Compre já!","142","898","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/kit-fita-dupla-face-19mm-x-30m-fd-01/","1","Fita dupla face Lola com alta viscosidade, ideal para bordados, calçados e pisos. Compre e garanta fixação segura e duradoura!","126","790","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-termocolante-branca-285g-16-100m/","1","A entretela de memória (ou entretela cavalinho) é utilizada para estruturar bonés, fardas, cortinas, vestidos, bolsas e muitos outros artigos.","142","858","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-termocolante-preta-290g-16-x-100m/","1","A entretela de memória (ou entretela cavalinho) é utilizada para estruturar bonés, fardas, cortinas, vestidos, bolsas e muitos outros artigos.","142","858","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-termocolante-branca-270g-16-100m/","1","A entretela de memória (ou entretela cavalinho) é utilizada para estruturar bonés, fardas, cortinas, vestidos, bolsas e muitos outros artigos.","142","858","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-branca-235g-sem-cola/","1","A Entretela de Memória sem cola é regularmente utilizada para forrar e estruturar bonés, fardas fardas (bolsos e outras áreas estruturais), vestidos, bolsas,...","160","970","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-termocolante-branca-220g-15-100m/","1","A entretela de memória (ou entretela cavalinho) é utilizada para estruturar bonés, fardas, cortinas, vestidos, bolsas e muitos outros artigos.","142","858","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretelas-tecido-de-algodao-termocolante-etp-15m-x-100m/","1","Entretela 100% algodão termocolante ideal para colarinhos e golas. Toque e dureza variados para acabamento sofisticado. Compre e eleve seu projeto!","147","933","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-30g-lab-401-402/","1","As Entretelas de Alfaiataria LAB são essenciais para quem busca durabilidade, reforço e um acabamento profissional em peças como blazers, vestidos, bonés, go...","160","1007","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-40g-lab-403-404/","1","As Entretelas de Alfaiataria LAB são essenciais para quem busca durabilidade, reforço e um acabamento profissional em peças como blazers, vestidos, bonés, go...","160","1007","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-50g-lab-405-406/","1","As Entretelas de Alfaiataria LAB são essenciais para quem busca durabilidade, reforço e um acabamento profissional em peças como blazers, vestidos, bonés, go...","160","1007","Indexable",""
