arquivo,aparece_em,contexto,prioridade,alt_sugerido,onde_aplicar
PT_DUNS-Registered_Installation-Manual-new-1_page-0001.jpg,/empresa/,Documento — Registro D-U-N-S,P2,Registro D-U-N-S da Metal Indianápolis,Biblioteca de Mídia WP
GUS03482-convertido-de-png-scaled.webp,/solucoes/ (banner CTA -> /contato/),Banner de contato — foto da planta,P1,Fundição Metal Indianápolis com usinagem própria,Biblioteca de Mídia WP
Design-sem-nome-4.png,"/solucoes/ e /produtos/",Seção capacidade de fabricação — variedade de peças,P2,Variedade de peças industriais em ferro fundido,Biblioteca de Mídia WP
Design-sem-nome-7.png,/solucoes/,Card "Coletor de Escapamento",P2,Coletor de escapamento em ferro fundido,Biblioteca de Mídia WP
Design-sem-nome-8.png,/solucoes/,Card "Abraçadeira",P2,Abraçadeira para concreto em ferro fundido nodular,Biblioteca de Mídia WP
Design-sem-nome-convertido-de-png-2.webp,/solucoes/,Card "Carcaça",P2,Carcaça em ferro fundido para equipamentos industriais,Biblioteca de Mídia WP
Design-sem-nome-2-convertido-de-png.webp,/solucoes/,Card "Cabeçote",P2,Cabeçote de compressor de ar em ferro fundido,Biblioteca de Mídia WP
Design-sem-nome-2-3.png,/solucoes/,Card "Cabeçote" (segunda foto),P2,Cabeçote para compressor em ferro fundido,Biblioteca de Mídia WP
Design-sem-nome-6.png,"/produtos/ (card Automotivo) e /solucoes/ (card Carcaça)",Imagem reutilizada em dois contextos,P1,Peças automotivas em ferro fundido,Biblioteca de Mídia WP
Design-sem-nome-1-1.png,/produtos/ (card Anéis de Segmento),Card de categoria,P1,Anéis de segmento em ferro fundido,Biblioteca de Mídia WP
Design-sem-nome-1-4.png,"/produtos/ (card Máquinas) e /solucoes/ (card Anel de Segmento)",Imagem reutilizada em dois contextos,P1,Componentes mecânicos em ferro fundido usinados sob medida,Biblioteca de Mídia WP
Design-sem-nome-2-convertido-de-png-2.webp,/produtos/ (card Construção Civil),Card de categoria,P1,Peças de ferro fundido para construção civil,Biblioteca de Mídia WP
blog-cabecote-compressor-de-ar-75348e99ad-convertido-de-jpg.webp,"2 páginas + relacionados",Imagem destacada do post,P2,Cabeçote de compressor de ar em ferro fundido,Biblioteca de Mídia WP
blog-fornecedor-aneis-de-segmento-7b9de1870c-convertido-de-jpg.webp,2 páginas (preco / fornecedor),Imagem destacada do post,P2,Anéis de segmento prontos para expedição,Biblioteca de Mídia WP
blog-abracadeira-para-concreto-f59b1eee42-convertido-de-jpg.webp,/abracadeira-para-concreto/ + relacionados,Imagem destacada do post,P2,Abraçadeira para concreto em ferro fundido nodular,Biblioteca de Mídia WP
blog-abracadeira-para-tubo-de-concreto-0c669d0967-convertido-de-jpg.webp,/abracadeira-para-tubo-de-concreto/ + relacionados,Imagem destacada do post,P2,Abraçadeira para tubo de concreto instalada em tubulação,Biblioteca de Mídia WP
blog-cilindro-compressor-de-ar-684f357ab8-convertido-de-jpg.webp,/cilindro-compressor-de-ar/,Imagem destacada do post,P2,Cilindro para compressor de ar em ferro fundido,Biblioteca de Mídia WP
blog-cubos-e-mancais-para-maquinas-fa80322427-convertido-de-jpg.webp,/cubos-e-mancais-para-maquinas/,Imagem destacada do post,P2,Cubos e mancais para máquinas em ferro fundido,Biblioteca de Mídia WP
blog-empresa-de-ferro-fundido-7dcf02a551-convertido-de-jpg.webp,/empresa-de-ferro-fundido/,Imagem destacada do post,P2,Planta industrial de empresa de ferro fundido,Biblioteca de Mídia WP
blog-empresa-de-fundicao-de-ferro-fundido-23b56750b2-convertido-de-jpg.webp,/empresa-de-fundicao-de-ferro-fundido/,Imagem destacada do post,P2,Empresa de fundição de ferro fundido área de produção,Biblioteca de Mídia WP
blog-empresas-fabricantes-de-pecas-automotivas-6a11c22826-convertido-de-jpg.webp,/empresas-fabricantes-de-pecas-automotivas/,Imagem destacada do post,P2,Linha de produção de peças automotivas em ferro fundido,Biblioteca de Mídia WP
blog-fabrica-de-pecas-automotiva-32a3860356-1-convertido-de-jpg.webp,/fabrica-de-pecas-automotiva/,Imagem destacada do post,P2,Fábrica de peças automotivas com usinagem CNC,Biblioteca de Mídia WP
blog-fabrica-de-roldanas-f43dbe2caf-convertido-de-jpg.webp,/fabrica-de-roldanas/ + relacionados,Imagem destacada do post,P2,Roldanas em ferro fundido fabricadas sob medida,Biblioteca de Mídia WP
milling-cutters-3738903__340.jpg,/fabrica-de-roldanas/,Foto de apoio no post (banco de imagens),P2,Ferramentas de usinagem CNC para roldanas,Biblioteca de Mídia WP
blog-fabricacao-de-pecas-em-ferro-fundido-616f65658d-convertido-de-jpg.webp,/fabricacao-de-pecas-em-ferro-fundido/,Imagem destacada do post,P2,Fabricação de peças em ferro fundido na fundição,Biblioteca de Mídia WP
blog-fabricante-de-abracadeiras-para-bombeamento-de-concreto-255010c7aa-1-convertido-de-jpg.webp,/fabricante-abracadeiras-bombeamento-concreto/,Imagem destacada do post,P2,Abraçadeiras para bombeamento de concreto prontas para entrega,Biblioteca de Mídia WP
blog-fabricante-aneis-de-segmento-9c26fa552b-convertido-de-jpg.webp,"4 páginas de anéis + relacionados",Imagem destacada do post,P2,Anéis de segmento industriais produzidos sob medida,Biblioteca de Mídia WP
blog-fabricante-de-pecas-automotivas-f9f4bf65b5-convertido-de-jpg.webp,/fabricante-de-pecas-automotivas/,Imagem destacada do post,P2,Peças automotivas de ferro fundido usinadas,Biblioteca de Mídia WP
blog-fabricante-de-pecas-para-maquinas-e-equipamentos-ec2b3e50ce-convertido-de-jpg.webp,/fabricante-de-pecas-para-maquinas-e-equipamentos/,Imagem destacada do post,P2,Peças para máquinas e equipamentos em ferro fundido,Biblioteca de Mídia WP
iron-4452869_1280-4.jpg,/fabricante-de-pecas-para-maquinas-e-equipamentos/,Foto de apoio (banco de imagens) — vazamento de metal,P3,Vazamento de metal líquido na fundição,Biblioteca de Mídia WP
blog-ferro-fundido-cinzento-7211ea24c1-convertido-de-jpg.webp,/ferro-fundido-cinzento/,Imagem destacada do post,P2,Peças em ferro fundido cinzento,Biblioteca de Mídia WP
blog-fundicao-de-auto-pecas-17b93ad98b-convertido-de-jpg.webp,/fundicao-de-auto-pecas/,Imagem destacada do post,P2,Autopeças em ferro fundido produzidas em série,Biblioteca de Mídia WP
iron-4452869_1280-5.jpg,/fundicao-de-auto-pecas/,Foto de apoio (banco de imagens) — forno,P3,Fusão de ferro no forno da fundição,Biblioteca de Mídia WP
photo-1739488754789-5a2e85ee6a79.jpg,/fundicao-de-auto-pecas/,Foto EXTERNA hotlinkada do Unsplash (images.unsplash.com),P2,Processo produtivo de autopeças em fundição,Editar o post no WP — ideal baixar p/ Biblioteca
images-2-convertido-de-jpg.webp,"Widgets de posts relacionados (anéis)",Thumbnail de post antigo (attachment 523) — confirmar visual ao aplicar,P2,Peças mecânicas em ferro fundido produzidas sob medida,Biblioteca de Mídia WP
blog-fundicao-de-autopecas-e438234fa2-convertido-de-jpg.webp,/fundicao-de-autopecas/,Imagem destacada do post,P2,Autopeças fundidas com controle de qualidade,Biblioteca de Mídia WP
blog-fundicao-de-ferro-cinzento-e-nodular-2082aba278-convertido-de-jpg.webp,/fundicao-de-ferro-cinzento-e-nodular/,Imagem destacada do post,P2,Comparativo entre ferro fundido cinzento e nodular,Biblioteca de Mídia WP
blog-fundicao-de-ferro-em-itaquaquecetuba-sp-b596c30d9a-convertido-de-jpg.webp,"3 páginas (itaquaquecetuba / ferros / preco)",Imagem destacada do post,P2,Fundição de ferro em Itaquaquecetuba planta industrial,Biblioteca de Mídia WP
blog-fundicao-de-ferro-em-pep-set-9775a092dc-convertido-de-jpg.webp,/fundicao-de-ferro-em-pep-set/,Imagem destacada do post,P2,Molde em pep set para fundição de ferro,Biblioteca de Mídia WP
blog-fundicao-de-ferro-fundido-27d5967173-convertido-de-jpg.webp,/fundicao-de-ferro-fundido-2/,Imagem destacada do post,P2,Aplicações do ferro fundido na indústria,Biblioteca de Mídia WP
milling-1151344_1280.jpg,/fundicao-de-ferro-fundido-2/,Foto de apoio — torno CNC,P3,Torno CNC usinando peça de ferro fundido,Biblioteca de Mídia WP
blog-fundicao-de-ferro-fundido-sp-d5a08a7ea2-convertido-de-jpg.webp,/fundicao-de-ferro-fundido/,Imagem destacada do post,P2,Fundição de ferro fundido em São Paulo,Biblioteca de Mídia WP
blog-fundicao-de-pecas-em-ferro-fundido-4a2ab0e77d-convertido-de-jpg.webp,/fundicao-de-pecas-em-ferro-fundido/ + relacionados,Imagem destacada do post,P2,Peças em ferro fundido recém-fundidas,Biblioteca de Mídia WP
blog-fundicao-e-usinagem-em-ferro-fundido-empresa-fcf43cbff9-convertido-de-jpg.webp,/fundicao-e-usinagem-em-ferro-fundido-empresa/,Imagem destacada do post,P2,Empresa de fundição e usinagem de ferro fundido,Biblioteca de Mídia WP
blog-fundicao-e-usinagem-proprias-d5222300a6-convertido-de-jpg.webp,/fundicao-e-usinagem-proprias/,Imagem destacada do post,P2,Usinagem própria de peças em ferro fundido,Biblioteca de Mídia WP
blog-fundicao-e-usinagem-818fd5627b-convertido-de-jpg.webp,/fundicao-e-usinagem/,Imagem destacada do post,P2,Centro de usinagem CNC processando peça fundida,Biblioteca de Mídia WP
blog-fundicao-em-sao-paulo-b886fc0db1-convertido-de-jpg.webp,/fundicao-em-sao-paulo/,Imagem destacada do post,P2,Fundição em São Paulo chão de fábrica,Biblioteca de Mídia WP
blog-fundicao-ferro-fundido-cinzento-ba6817e251-convertido-de-jpg.webp,/fundicao-ferro-fundido-cinzento/,Imagem destacada do post,P2,Peças em ferro fundido cinzento na fundição,Biblioteca de Mídia WP
blog-industria-metalurgica-de-pecas-automotivas-deed38c95f-convertido-de-png.webp,/industria-metalurgica-de-pecas-automotivas/,Imagem destacada do post,P2,Indústria metalúrgica de peças automotivas produção,Biblioteca de Mídia WP
milling-1151344_1280-12.jpg,/industria-metalurgica-de-pecas-automotivas/,Foto de apoio — usinagem,P3,Usinagem de precisão de componente fundido,Biblioteca de Mídia WP
blog-anel-de-segmento-em-ferro-fundido-6c877001c1-convertido-de-jpg.webp,"5 páginas de anéis + relacionados",Imagem destacada do post,P1,Anel de segmento em ferro fundido para motores,Biblioteca de Mídia WP
blog-anel-de-segmento-para-compressor-2dd9f70420-convertido-de-jpg.webp,"3 páginas + relacionados",Imagem destacada do post,P1,Anel de segmento para compressor de ar,Biblioteca de Mídia WP
blog-pecas-de-ferro-fundido-aabd286047-convertido-de-jpg.webp,/pecas-de-ferro-fundido/,Imagem destacada do post,P2,Diversas peças de ferro fundido acabadas,Biblioteca de Mídia WP
blog-pecas-para-bomba-de-concreto-4a2e0daa5c-convertido-de-jpg.webp,"2 páginas + relacionados",Imagem destacada do post,P2,Peças para bomba de concreto em ferro fundido,Biblioteca de Mídia WP
blog-pecas-para-bombeamento-de-concreto-07a8bad6b6-convertido-de-jpg.webp,/pecas-para-bombeamento-de-concreto/,Imagem destacada do post,P2,Peças para bombeamento de concreto em ferro fundido,Biblioteca de Mídia WP
blog-pecas-para-sistema-de-bombeamento-de-concreto-e60a87ec35-convertido-de-jpg.webp,/pecas-para-sistema-de-bombeamento-de-concreto/,Imagem destacada do post,P2,Componentes de sistema de bombeamento de concreto,Biblioteca de Mídia WP
blog-pecas-para-tratores-agricolas-c9c680bdfb-convertido-de-png.webp,"2 páginas + relacionados",Imagem destacada do post,P2,Peças para tratores agrícolas em ferro fundido,Biblioteca de Mídia WP
blog-preco-do-ferro-fundido-kg-95baf166c3-convertido-de-jpg.webp,/preco-do-ferro-fundido-kg/,Imagem destacada do post,P2,Lote de peças de ferro fundido pronto para cotação,Biblioteca de Mídia WP
blog-rolos-de-apoio-para-betoneiras-236350f539-convertido-de-jpg.webp,/rolos-de-apoio-para-betoneiras/,Imagem destacada do post,P2,Rolos de apoio para betoneiras em ferro fundido,Biblioteca de Mídia WP
blog-servico-de-fundicao-em-sao-paulo-7d6be380ee-convertido-de-jpg.webp,/servico-de-fundicao-em-sao-paulo/,Imagem destacada do post,P2,Serviço de fundição em São Paulo forno de fusão,Biblioteca de Mídia WP
