"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Indexability","Indexability Status"
"https://preview.indianapolis.com.br/empresa/","1","Conheça a Metal Indianópolis, fundição de ferro fundido com mais de 60 anos de tradição. Estrutura completa com usinagem CNC de precisão e ISO 9001!","148","953","","0","0","Indexable",""
"https://preview.indianapolis.com.br/produto/fundicao-pecas-agricolas/","2","Procurando fundição de peças agrícolas de alta resistência? Conheça as soluções em ferro fundido e aço da Metal Indianápolis. Solicite seu orçamento!","149","935","A fundição de peças agrícolas da Metal Indianápolis entrega componentes de alta resistência mecânica e ao desgaste, projetados para suportar o trabalho pesado de máquinas, tratores e implementos no campo. Atendendo sob rigorosos padrões metalúrgicos, a empresa produz carcaças, engrenagens, mancais, suportes, cubos de roda e acoplamentos em ferro fundido cinzento, nodular ou aço fundido. Com suporte completo que vai desde o desenvolvimento do projeto e lote piloto até a usinagem final em estrutura própria, a Metal Indianápolis assegura total rastreabilidade por lote e a garantia de qualidade da certificação ISO 9001:2015.","628","3972","Indexable",""
"https://preview.indianapolis.com.br/produto/moldes-industria-vidreira/","2","Procurando moldes indústria vidreira com longa vida útil? Conheça os modelos em ferro fundido de alta qualidade da Metal Indianápolis. Faça sua cotação!","152","960","Os moldes indústria vidreira da Metal Indianápolis são fabricados em ligas especiais de ferro fundido de alta qualidade, sendo ideais para a produção de frascos, recipientes, utilidades domésticas e telhas de vidro, tanto pelo processo de sopro quanto de prensagem. Desenvolvidos sob medida a partir de desenhos ou amostras fornecidos pelo cliente, esses moldes oferecem excelente acabamento superficial e maior vida útil quando comparados aos produzidos por fundição contínua. Com um custo-benefício altamente superior em relação aos moldes de aço, garantem máxima eficiência para a linha de produção de vidros sob o rigor técnico da certificação ISO 9001:2015.","662","4157","Indexable",""
"https://preview.indianapolis.com.br/solucoes/","1","Conheça nossas soluções em ferro fundido. Oferecemos serviços de fundição e usinagem CNC integrados para peças técnicas sob especificação. Solicite cotação!","156","1004","","0","0","Indexable",""
"https://preview.indianapolis.com.br/produto/cabecote-de-compressor-de-ar/","2","Buscando cabeçote de compressor de ar de alta estanqueidade? Conheça os modelos em liga especial desenvolvida pela Metal Indianápolis. Faça uma cotação!","152","988","O cabeçote de compressor de ar da Metal Indianápolis é um componente-chave projetado para compressores a pistão de baixa e alta pressão, atuando diretamente no alojamento das válvulas de admissão e descarga de ar. Fabricado em ferro fundido com uma liga metálica especial desenvolvida em laboratório próprio, a peça passa por processos rigorosos em centros de usinagem avançados para assegurar um funcionamento impecável e total estanqueidade do sistema. Amplamente utilizado em locomotivas, refrigeração industrial, injetoras e sistemas de freio a ar, oferece máxima confiabilidade com a chancela da certificação ISO 9001:2015.","628","4006","Indexable",""
"https://preview.indianapolis.com.br/produto/porca-do-cardan/","2","Procurando porca cardan para veículos pesados? Conheça os modelos em ferro fundido nodular com usinagem CNC da Metal Indianápolis. Solicite um orçamento!","153","1007","A porca cardan da Metal Indianápolis é uma peça essencial para o conjunto do eixo Cardan de veículos pesados, responsável por garantir a segurança e suportar os altos esforços na transmissão de energia do motor para o diferencial. Fabricada em ferro fundido nodular de excelente padrão, ela oferece altíssima resistência mecânica, ductilidade e alongamento, destacando-se como uma alternativa de superior custo-benefício em relação às peças de aço. Usinada em torno CNC de alta precisão dimensional e submetida a um rigoroso controle de qualidade com rastreabilidade, atende perfeitamente aos exigentes requisitos do segmento de autopeças de linha pesada com a garantia da certificação ISO 9001:2015.","700","4419","Indexable",""
"https://preview.indianapolis.com.br/produto/fundicao-ferro-fundido/","2","Precisa de serviços de fundição de ferro fundido? Conheça a infraestrutura com usinagem própria e rigor metalúrgico da Metal Indianápolis. Peça um orçamento!","157","995","O serviço de fundição de ferro fundido da Metal Indianápolis é a solução ideal para a fabricação de peças técnicas de geometria complexa que exigem alta resistência mecânica e rigoroso controle dimensional. Especializada em ligas de ferro fundido nodular, cinzento e ligado, a empresa gerencia com excelência todas as etapas do processo, desde a análise do projeto inicial e confecção do modelo até o vazamento em moldes de areia aglomerada com correção química controlada em forno de fusão. Contando com estrutura de usinagem própria e certificação ISO 9001:2015, a Metal Indianápolis atende de forma personalizada a setores exigentes como o automobilístico, agrícola, ferroviário e de construção civil.","704","4405","Indexable",""
"https://preview.indianapolis.com.br/categoria-produto/aneis-de-segmento/","1","Confira nossa linha de anéis de segmento industriais. Fabricação sob medida com precisão CNC para motores, compressores e sistemas hidráulicos. Faça uma cotação!","161","1042","","0","0","Indexable",""
"https://preview.indianapolis.com.br/produto/fundicao-de-pecas-em-ferro-fundido/","2","Precisa de fundição de peças em ferro fundido? Conte com o laboratório próprio e a usinagem especializada da Metal Indianápolis. Peça seu orçamento!","148","940","A fundição de peças em ferro fundido da Metal Indianápolis atende com alta precisão às demandas de geometrias complexas e excelente resistência mecânica para os setores automobilístico, agrícola, de construção civil e de máquinas industriais. Especializada em ligas cinzentas, nodulares e ligadas, a empresa executa desde a concepção do projeto e lote piloto até a produção seriada em larga escala. Utilizando modernos sistemas de moldagem em areia e resina (Cold Box e Cura a frio) e contando com laboratório próprio equipado com espectrômetro, a Metal Indianápolis oferece capacidade produtiva superior a 1.440 toneladas/ano com garantia de rastreabilidade e certificação ISO 9001:2015.","688","4324","Indexable",""
"https://preview.indianapolis.com.br/categoria-produto/construcao-civil/","1","Encontre peças de ferro fundido para construção civil. Fabricamos abraçadeiras de concreto, rolos de apoio para betoneira e componentes sob projeto. Faça sua cotação!","166","1052","","0","0","Indexable",""
"https://preview.indianapolis.com.br/categoria-produto/maquinas-e-equipamentos/","1","Componentes e peças de ferro fundido para máquinas e equipamentos industriais. Produção sob projeto ou amostra com precisão de usinagem CNC. Peça um orçamento!","159","1057","","0","0","Indexable",""
"https://preview.indianapolis.com.br/anel-de-segmento-do-motor/","2","Entenda a função do anel de segmento do motor na vedação e potência. Conheça os tipos, dicas de manutenção e as soluções da Metal Indianápolis. Acesse!","151","973","O artigo explora a importância do anel de segmento do motor na vedação, lubrificação e desempenho de sistemas de combustão interna, além de destacar a expertise e as peças de alta qualidade da Metal Indianápolis.","212","1341","Indexable",""
"https://preview.indianapolis.com.br/cabecote-para-compressor/","2","Entenda a importância do cabeçote para compressor na confiabilidade industrial. Saiba como escolher o modelo ideal com a Metal Indianápolis. Acesse!","148","939","O artigo explica o papel crucial do cabeçote para compressor na geração de pressão e confiabilidade do sistema, detalhando os tipos existentes e a fabricação de alta precisão da Metal Indianápolis.","197","1218","Indexable",""
"https://preview.indianapolis.com.br/fundicao-de-ferros/","2","Como escolher a melhor fundição de ferros para o seu projeto? Conheça os tipos de ligas, critérios de seleção e as soluções da Metal Indianápolis. Acesse!","154","948","O artigo orienta sobre como selecionar a melhor fundição de ferros para cada projeto, explicando as características das ligas (cinzenta, nodular, branca e maleável) e os diferenciais de qualidade da Metal Indianápolis.","218","1331","Indexable",""
"https://preview.indianapolis.com.br/fabricante-de-pecas-automotivas/","2","Como escolher o fabricante de peças automotivas ideal? Saiba quais critérios avaliar para garantir a segurança e conheça a Metal Indianápolis. Acesse!","150","936","O artigo apresenta um guia prático para escolher o fabricante de peças automotivas ideal, destacando critérios de qualidade, prazos e a infraestrutura certificada da Metal Indianápolis.","185","1137","Indexable",""
"https://preview.indianapolis.com.br/camisa-compressor/","2","O que é uma camisa compressor e qual a sua importância? Descubra os materiais utilizados e as soluções de alta qualidade da Metal Indianápolis. Acesse!","151","954","O artigo explica o que é a camisa compressor, sua função vital na vedação e resfriamento do cilindro, os materiais ideais para sua fabricação e as soluções de alta durabilidade da Metal Indianápolis.","199","1219","Indexable",""
"https://preview.indianapolis.com.br/preco-ferro-fundido/","2","Quais fatores influenciam o preço ferro fundido? Entenda como avaliar o custo-benefício em seu projeto e conheça as soluções da Metal Indianápolis. Acesse!","155","973","O artigo explica as principais variáveis que impactam a cotação e o preço do ferro fundido no mercado industrial, orientando o comprador a equilibrar custo-benefício com a qualidade da Metal Indianápolis.","204","1264","Indexable",""
"https://preview.indianapolis.com.br/anel-de-segmento-preco/","2","Buscando anel de segmento preço competitivo? Saiba o que avaliar na escolha e conheça as peças com fundição própria da Metal Indianápolis. Confira!","147","939","O artigo orienta o leitor sobre como encontrar o melhor preço para anéis de segmento sem abrir mão da qualidade técnica, destacando o custo-benefício da fabricação própria da Metal Indianápolis.","194","1217","Indexable",""
"https://preview.indianapolis.com.br/anel-de-segmento/","2","O que é um anel de segmento e quais são seus tipos? Entenda a importância dessa peça para motores e conheça as soluções da Metal Indianápolis. Acesse!","150","964","O artigo detalha o funcionamento e os tipos de anel de segmento (compressão, raspador e intermediário), além de destacar a Metaláurgica Indianápolis como fabricante especializada em fundição e usinagem dessas peças.","215","1373","Indexable",""
"https://preview.indianapolis.com.br/pecas-para-tratores/","2","Como escolher as melhores peças para tratores? Saiba o que avaliar entre durabilidade, custos e conheça a tradição da Metal Indianápolis. Acesse!","145","908","O artigo oferece um guia completo para a escolha de peças para tratores, analisando critérios como compatibilidade, durabilidade, custo-benefício e a expertise de mercado da Metal Indianápolis.","193","1198","Indexable",""
"https://preview.indianapolis.com.br/produto/abracadeira-rapida/","2","Procurando abraçadeira para concreto de alta durabilidade? Conheça os modelos com rastreabilidade por lote da Metal Indianápolis. Acesse e faça uma cotação!","156","999","A abraçadeira para concreto da Metal Indianápolis é produzida em ferro fundido nodular de alta resistência, sendo indispensável para o acoplamento seguro de tubulações, curvas e bombas de concreto (snap coupling). Disponível em diversas medidas nos modelos rápidos ou fixos, cada peça conta com gravação de número de lote para total rastreabilidade, garantindo máxima vida útil e segurança para a operação.","406","2572","Indexable",""
"https://preview.indianapolis.com.br/produto/tirante-para-elevador/","2","Precisa de tirante para elevador de alta confiabilidade? Fabricamos componentes de segurança em ferro fundido nodular com precisão CNC. Solicite cotação!","153","973","O Tirante para Elevador desenvolvido pela Metal Indianópolis é um componente estrutural crítico, projetado para suportar altas cargas de tração e fadiga mecânica contínua. Fabricada sob rigorosos controles metalúrgicos em ferro fundido nodular de alta ductilidade, a peça passa por processos de usinagem CNC de alta precisão para garantir o perfeito alinhamento e montagem nos sistemas de contravento e sustentação. Ideal para construtoras e empresas de manutenção de transporte vertical que exigem a máxima confiabilidade da norma ISO 9001.","541","3433","Indexable",""
"https://preview.indianapolis.com.br/produto/rolo-de-apoio/","2","Procurando rolo de apoio para betoneira de alta resistência? Conheça os modelos com rastreabilidade por lote da Metal Indianápolis. Faça sua cotação!","149","939","O rolo de apoio para betoneira da Metal Indianápolis é fabricado em ferro fundido nodular de alta resistência, projetado especialmente para suportar o desgaste severo em campo e preservar a pista de rolagem do balão do caminhão. Flexível para a sua necessidade, o componente pode ser adquirido montado (com rolamentos e bucha) ou apenas usinado, em dimensões padronizadas ou personalizadas. Cada peça possui número de lote gravado na superfície para total rastreabilidade e acompanha certificado de análise de composição do material, assegurando uma vida útil superior e excelente custo-benefício para a sua frota.","614","3891","Indexable",""
"https://preview.indianapolis.com.br/produto/abracadeira-fixa/","2","Procurando abraçadeira fixa? Fabricamos acoplamentos em ferro fundido nodular de alta resistência para bombeamento e alta pressão. Peça um orçamento!","149","978","A Abraçadeira para Concreto (também conhecida como acoplamento ou snap coupling) da Metal Indianópolis é projetada especificamente para suportar o trabalho severo do bombeamento de concreto. Fabricada em ferro fundido nodular de alta resistência, ela garante estanqueidade absoluta sob alta pressão, evitando vazamentos e protegendo a integridade da tubulação. Possui sistema de travamento rápido e seguro, ideal para mangueiras de caminhões betoneira e bombas de linha na construção civil.","490","3144","Indexable",""
"https://preview.indianapolis.com.br/produto/placa-de-ancoragem/","2","Procurando rolo de apoio para betoneira de alta resistência? Conheça os modelos com rastreabilidade por lote da Metal Indianápolis. Faça sua cotação!","149","939","O rolo de apoio para betoneira da Metal Indianápolis é fabricado em ferro fundido nodular de alta resistência, projetado especialmente para suportar o desgaste severo em campo e preservar a pista de rolagem do balão do caminhão. Flexível para a sua necessidade, o componente pode ser adquirido montado (com rolamentos e bucha) ou apenas usinado, em dimensões padronizadas ou personalizadas. Cada peça possui número de lote gravado na superfície para total rastreabilidade e acompanha certificado de análise de composição do material, assegurando uma vida útil superior e excelente custo-benefício para a sua frota.","614","3891","Indexable",""
"https://preview.indianapolis.com.br/produto/pecas-bomba-concreto/","2","Buscando peças para bomba de concreto com alta durabilidade? Encontre soluções direto da fábrica na Metal Indianápolis. Acesse e solicite um orçamento!","151","965","As peças para bomba de concreto da Metal Indianápolis são desenvolvidas em ferro fundido de excelente qualidade, garantindo alta resistência e longa vida útil na manutenção de equipamentos de transporte e bombeamento. A linha completa de reposição inclui abraçadeiras, mangotes, ponteiras, chapas óculos, manchetas, curvas e tubos de redução. Sendo fabricante direta com certificação ISO 9001:2015, a empresa assegura rigoroso controle metalúrgico em laboratório próprio e mantém estoque estratégico para garantir agilidade na entrega e evitar paradas na sua produção.","568","3606","Indexable",""
"https://preview.indianapolis.com.br/produto/rolo-de-apoio-para-betoneira/","2","Procurando rolo de apoio para betoneira? Fabricamos roletes em ferro fundido de alta resistência ao desgaste para caminhão betoneira. Solicite um orçamento!","156","988","O Rolo de Apoio para Betoneira da Metal Indianópolis é um componente crítico para garantir a estabilidade, o alinhamento e a rotação suave do balão do caminhão betoneira. Projetado para suportar altíssimas cargas de compressão e o trabalho severo em ambientes com alta presença de poeira abrasiva, este rolete é fabricado em ferro fundido de alta resistência. O componente passa por uma usinagem CNC de precisão milimétrica, assegurando um encaixe perfeito, redução de vibrações no equipamento e uma vida útil significativamente maior para a sua frota.","552","3488","Indexable",""
"https://preview.indianapolis.com.br/produto/rolo-apoio-betoneira/","2","Procurando rolo de apoio para betoneira de alta resistência? Conheça os modelos com rastreabilidade por lote da Metal Indianápolis. Faça sua cotação!","149","939","O rolo de apoio para betoneira da Metal Indianápolis é fabricado em ferro fundido nodular de alta resistência, projetado especialmente para suportar o desgaste severo em campo e preservar a pista de rolagem do balão do caminhão. Flexível para a sua necessidade, o componente pode ser adquirido montado (com rolamentos e bucha) ou apenas usinado, em dimensões padronizadas ou personalizadas. Cada peça possui número de lote gravado na superfície para total rastreabilidade e acompanha certificado de análise de composição do material, assegurando uma vida útil superior e excelente custo-benefício para a sua frota.","614","3891","Indexable",""
"https://preview.indianapolis.com.br/produto/polia-de-elevador/","2","Procura por polia de elevador de alta durabilidade? Fabricamos polias em ferro fundido de alta resistência com usinagem de precisão CNC. Peça um orçamento!","155","986","A Polia para Elevador da Metal Indianópolis é projetada especificamente para sistemas de tração e desvio no transporte vertical. Fabricada em ferro fundido de alta resistência, ela oferece excelente absorção de vibrações e máxima durabilidade contra o desgaste contínuo provocado pelo atrito dos cabos de aço. O componente passa por uma usinagem CNC rigorosa e balanceamento preciso, garantindo um funcionamento suave, seguro e em conformidade com as normas técnicas de segurança. Perfeita para montadoras e empresas de manutenção de elevadores.","545","3502","Indexable",""
"https://preview.indianapolis.com.br/categoria-produto/sem-categoria/","0","","0","0","","0","0","Indexable",""
"https://preview.indianapolis.com.br/produto/aneis-de-segmento/","2","Buscando anéis de segmento de alta qualidade? Conheça os modelos para motores e sistemas hidráulicos da Metal Indianápolis. Solicite um orçamento!","146","942","Os anéis de segmento da Metal Indianápolis são componentes cilíndricos de alta precisão, fundamentais para assegurar o funcionamento correto e a compressão perfeita de motores a combustão (veículos, motosserras, embarcações) e sistemas hidráulicos. Fabricados em materiais de excelente resistência como aço, bronze e ferro fundido, a linha abrange os três tipos essenciais: anéis de compressão, raspadores e intermediários. Produzidos com matéria-prima testada em laboratório próprio e fundição de alta tecnologia, esses componentes oferecem vedação hermética contra a perda de gases e excelente distribuição de óleo lubrificante, garantindo máxima durabilidade e redução do atrito industrial.","693","4364","Indexable",""
"https://preview.indianapolis.com.br/categoria-produto/industria-vidreira/","0","","0","0","","0","0","Indexable",""
